,num_mel_bins,down,up,resampled_frequency,accuracy,total_time,communication_cost,number of webservice calls,policy,threshold
0,10,2,1,8000,89.125,45.91797739267349,0.0,0,1,0.1
0,10,2,1,8000,89.125,45.39549469947815,0.0,0,1,0.1
0,10,2,1,8000,89.125,45.342600643634796,0.0,0,1,0.1
0,10,2,1,8000,89.125,45.427685379981995,0.084624,2,1,0.2
0,10,2,1,8000,89.375,45.44319808483124,0.42734399999999995,10,1,0.3
0,10,2,1,8000,90.25,45.44342577457428,1.5638039999999997,37,1,0.4
0,10,2,1,8000,91.375,45.44701784849167,3.823551999999999,91,1,0.5
0,10,2,1,8000,91.625,45.36969214677811,6.344027999999999,151,1,0.6
0,10,2,1,8000,92.125,45.554563999176025,8.597852,206,1,0.7
0,10,2,1,8000,92.0,45.459802746772766,11.373380000000001,272,1,0.8
0,10,2,1,8000,92.0,45.772252678871155,16.499864000000024,394,1,0.9
0,10,2,1,8000,90.75,45.351054072380066,1.627848,39,2,0.1
0,10,2,1,8000,91.0,45.48986881971359,3.193895999999999,76,2,0.2
0,10,2,1,8000,91.5,45.561432242393494,5.097031999999998,121,2,0.3
0,10,2,1,8000,91.875,45.53677588701248,6.6285479999999986,158,2,0.4
0,10,2,1,8000,92.125,45.36735326051712,8.015555999999998,191,2,0.5
0,10,2,1,8000,92.0,45.63816875219345,9.557136,229,2,0.6
0,10,2,1,8000,92.0,45.5498406291008,11.663592000000001,279,2,0.7
0,10,2,1,8000,92.0,45.772191286087036,14.879060000000003,355,2,0.8
0,10,2,1,8000,92.0,45.97107291221619,19.614580000000142,468,2,0.9
0,15,2,1,8000,91.25,45.45103430747986,0.0,0,1,0.1
0,15,2,1,8000,91.25,45.465514957904816,0.0,0,1,0.2
0,15,2,1,8000,91.25,45.47372043132782,0.34166399999999997,8,1,0.3
0,15,2,1,8000,91.125,45.42974799871445,1.004692,24,1,0.4
0,15,2,1,8000,91.25,45.51498979330063,1.9889559999999997,47,1,0.5
0,15,2,1,8000,91.875,45.58782756328583,3.2856519999999994,78,1,0.6
0,15,2,1,8000,91.75,45.65680801868439,4.858483999999998,116,1,0.7
0,15,2,1,8000,92.0,45.620657205581665,7.202123999999999,172,1,0.8
0,15,2,1,8000,92.0,45.61121046543121,10.289804000000002,246,1,0.9
0,15,2,1,8000,91.375,45.46996682882309,1.004692,24,2,0.1
0,15,2,1,8000,91.75,45.54503113031387,2.102116,50,2,0.2
0,15,2,1,8000,91.875,45.5584391951561,2.8871479999999994,69,2,0.3
0,15,2,1,8000,91.75,45.54055869579315,3.529747999999999,84,2,0.4
0,15,2,1,8000,91.75,45.46053349971771,4.529631999999998,108,2,0.5
0,15,2,1,8000,92.125,45.64434349536896,6.165851999999999,147,2,0.6
0,15,2,1,8000,92.0,45.61919242143631,7.387615999999999,176,2,0.7
0,15,2,1,8000,92.0,45.74109733104706,9.399112,224,2,0.8
0,15,2,1,8000,92.0,45.75183421373367,13.035544,311,2,0.9
