,num_mel_bins,down,up,resampled_frequency,accuracy,total_time,communication_cost,number of webservice calls,policy,threshold
0,15,1,1,16000,90.875,62.442010045051575,0.0,0,1,0.1
0,15,1,1,16000,90.875,62.346171438694,0.0,0,1,0.2
0,15,1,1,16000,90.875,62.54788070917129,0.0,0,1,0.1
0,15,1,1,16000,90.875,62.665371894836426,0.0,0,1,0.2
0,15,1,1,16000,90.875,63.25562298297882,0.170304,4,1,0.3
0,15,1,1,16000,91.0,62.67738789319992,0.9242439999999998,22,1,0.4
0,15,1,1,16000,91.5,62.73781776428222,1.947172,46,1,0.5
0,15,1,1,16000,91.875,62.66142040491104,3.3583879999999993,80,1,0.6
0,15,1,1,16000,92.375,63.575689196586616,5.003127999999998,119,1,0.7
0,15,1,1,16000,92.0,62.85349607467651,7.386391999999999,176,1,0.8
0,15,1,1,16000,92.0,64.29526567459106,10.402964,249,1,0.9
0,15,1,1,16000,92.0,62.70326197147369,1.0099239999999998,24,2,0.1
0,15,1,1,16000,91.75,63.47183436155319,1.8889719999999999,45,2,0.2
0,15,1,1,16000,91.625,63.786379396915436,2.647148,63,2,0.3
0,15,1,1,16000,92.25,63.049368858337395,3.6960879999999987,88,2,0.4
0,15,1,1,16000,92.0,63.4247550368309,4.997051999999997,119,2,0.5
0,15,1,1,16000,92.0,62.80257314443588,6.207895999999999,148,2,0.6
0,15,1,1,16000,92.0,64.08680379390717,7.757615999999999,185,2,0.7
0,15,1,1,16000,92.0,62.88513213396073,9.566032,228,2,0.8
0,15,1,1,16000,92.0,63.698458671569824,12.665812,302,2,0.9
0,15,2,1,8000,91.25,45.760546028614044,0.0,0,1,0.1
0,15,2,1,8000,91.25,45.81092059612274,0.0,0,1,0.2
0,15,2,1,8000,91.25,45.82544356584549,0.34166399999999997,8,1,0.3
0,15,2,1,8000,91.125,45.81826090812683,1.004692,24,1,0.4
0,15,2,1,8000,91.25,45.87671548128128,1.9889559999999997,47,1,0.5
0,15,2,1,8000,91.875,45.829532742500305,3.2856519999999994,78,1,0.6
0,15,2,1,8000,91.75,45.86570620536804,4.858483999999998,116,1,0.7
0,15,2,1,8000,92.0,45.964680314064026,7.202123999999999,172,1,0.8
0,15,2,1,8000,92.0,45.872275829315186,10.289804000000002,246,1,0.9
0,15,2,1,8000,91.375,45.74318081140518,1.004692,24,2,0.1
0,15,2,1,8000,91.75,45.814572274684906,2.102116,50,2,0.2
0,15,2,1,8000,91.875,45.81440448760986,2.8871479999999994,69,2,0.3
0,15,2,1,8000,91.75,45.80786794424057,3.529747999999999,84,2,0.4
0,15,2,1,8000,91.75,45.750107169151306,4.529631999999998,108,2,0.5
0,15,2,1,8000,92.125,45.8951410651207,6.165851999999999,147,2,0.6
0,15,2,1,8000,92.0,45.79477459192276,7.387615999999999,176,2,0.7
0,15,2,1,8000,92.0,45.925472378730774,9.399112,224,2,0.8
0,15,2,1,8000,92.0,45.88856399059296,13.035544,311,2,0.9
0,20,1,1,16000,92.0,64.63724315166473,0.0,0,1,0.1
0,20,1,1,16000,92.0,64.30275738239288,0.0,0,1,0.2
0,20,1,1,16000,92.0,64.54904347658157,0.281644,7,1,0.3
0,20,1,1,16000,91.75,63.40716004371644,0.8359479999999999,20,1,0.4
0,20,1,1,16000,92.125,64.54312264919281,1.633292,39,1,0.5
0,20,1,1,16000,92.125,64.55248594284058,2.646092,63,1,0.6
0,20,1,1,16000,91.875,63.62088978290557,3.9990079999999986,95,1,0.7
0,20,1,1,16000,92.0,64.26529854536057,5.357171999999998,128,1,0.8
0,20,1,1,16000,92.0,63.928641676902764,8.413791999999999,201,1,0.9
0,20,1,1,16000,92.125,64.44021493196487,0.9634119999999999,23,2,0.1
0,20,1,1,16000,92.0,64.3047747015953,1.630876,39,2,0.2
0,20,1,1,16000,92.0,63.617449700832374,2.303372,55,2,0.3
0,20,1,1,16000,92.0,63.64599466323853,3.0316519999999993,72,2,0.4
0,20,1,1,16000,92.0,63.62186133861542,3.8405919999999987,91,2,0.5
0,20,1,1,16000,92.0,64.58115994930267,4.801047999999998,115,2,0.6
0,20,1,1,16000,92.0,63.62021028995514,5.772827999999999,138,2,0.7
0,20,1,1,16000,92.0,64.78405982255936,7.438324,177,2,0.8
0,20,1,1,16000,92.0,63.80321741104127,10.106372,241,2,0.9
0,20,2,1,8000,92.125,46.59363925457001,0.0,0,1,0.1
0,20,2,1,8000,92.125,46.6516974568367,0.0,0,1,0.2
0,20,2,1,8000,92.0,46.51807129383087,0.17136,4,1,0.3
0,20,2,1,8000,91.875,46.5779784321785,0.837004,20,1,0.4
0,20,2,1,8000,92.125,46.59819394350052,1.6369639999999999,39,1,0.5
0,20,2,1,8000,91.75,46.606118977069855,2.7772279999999996,66,1,0.6
0,20,2,1,8000,91.875,46.669975221157074,4.180271999999999,99,1,0.7
0,20,2,1,8000,92.0,46.51860982179642,5.516843999999998,132,1,0.8
0,20,2,1,8000,92.0,46.570464074611664,8.324627999999999,199,1,0.9
0,20,2,1,8000,92.0,46.52942091226578,0.8216439999999999,20,2,0.1
0,20,2,1,8000,91.75,46.50513470172882,1.5927639999999998,38,2,0.2
0,20,2,1,8000,91.625,46.505446434020996,2.386648,57,2,0.3
0,20,2,1,8000,91.625,46.71570003032684,3.0690479999999996,73,2,0.4
0,20,2,1,8000,91.875,46.596659421920776,3.9814039999999986,95,2,0.5
0,20,2,1,8000,91.875,46.78311914205551,4.693527999999998,112,2,0.6
0,20,2,1,8000,92.0,46.67338490486145,5.986231999999998,143,2,0.7
0,20,2,1,8000,92.0,46.71378135681152,7.499971999999999,179,2,0.8
0,20,2,1,8000,92.0,46.613181829452515,10.491136000000003,250,2,0.9
0,25,1,1,16000,92.125,63.63332360982894,0.0,0,1,0.1
0,25,1,1,16000,92.125,63.70764672756195,0.0,0,1,0.2
0,25,1,1,16000,92.0,64.65005189180374,0.2142,5,1,0.3
0,25,1,1,16000,91.75,63.64034533500672,0.794164,19,1,0.4
0,25,1,1,16000,91.75,63.670060634613044,1.2942439999999997,31,1,0.5
0,25,1,1,16000,91.75,63.641138076782234,2.1021279999999996,50,1,0.6
0,25,1,1,16000,92.0,63.67745488882065,3.741967999999999,89,1,0.7
0,25,1,1,16000,92.0,63.72742235660553,4.657367999999998,111,1,0.8
0,25,1,1,16000,92.0,63.72440755367278,7.1271879999999985,170,1,0.9
0,25,1,1,16000,92.0,63.64187240600586,0.794164,19,2,0.1
0,25,1,1,16000,91.875,63.64983707666397,1.435708,34,2,0.2
0,25,1,1,16000,91.75,63.589475750923164,2.0439279999999997,49,2,0.3
0,25,1,1,16000,92.125,64.6389302611351,2.6865279999999996,64,2,0.4
0,25,1,1,16000,92.0,63.62726122140884,3.312971999999999,79,2,0.5
0,25,1,1,16000,92.0,64.51403230428696,4.314647999999999,103,2,0.6
0,25,1,1,16000,92.0,63.73860269784927,5.098483999999998,122,2,0.7
0,25,1,1,16000,92.0,63.791662156581886,6.313227999999999,151,2,0.8
0,25,1,1,16000,92.0,63.82461965084075,8.898731999999999,212,2,0.9
0,25,2,1,8000,91.75,46.60894989967346,0.0,0,1,0.1
0,25,2,1,8000,91.75,46.59025102853775,0.04284,1,1,0.2
0,25,2,1,8000,91.75,46.57513916492462,0.17136,4,1,0.3
0,25,2,1,8000,91.75,46.569946110248566,0.7084839999999999,17,1,0.4
0,25,2,1,8000,91.625,46.60060465335846,1.3331199999999999,32,1,0.5
0,25,2,1,8000,91.5,46.77873373031616,2.515168,60,1,0.6
0,25,2,1,8000,91.875,46.680739521980286,3.6583079999999994,87,1,0.7
0,25,2,1,8000,92.0,46.63660794496536,5.014631999999998,120,1,0.8
0,25,2,1,8000,92.0,46.68333202600479,7.170659999999999,171,1,0.9
0,25,2,1,8000,91.375,46.71080768108368,0.9605039999999999,23,2,0.1
0,25,2,1,8000,91.5,46.66012614965439,1.4163839999999996,34,2,0.2
0,25,2,1,8000,91.5,46.641893088817596,2.1317199999999996,51,2,0.3
0,25,2,1,8000,91.875,46.776839792728424,2.9874639999999992,71,2,0.4
0,25,2,1,8000,92.0,46.63775563240051,3.5726279999999995,85,2,0.5
0,25,2,1,8000,92.0,46.716784834861755,4.4985279999999985,107,2,0.6
0,25,2,1,8000,92.0,46.660310328006744,5.553575999999998,133,2,0.7
0,25,2,1,8000,92.0,46.55533164739609,6.743055999999998,161,2,0.8
0,25,2,1,8000,92.0,46.91759794950485,9.178812,219,2,0.9
